type,lat,lon,activity_score,year,nightlights,cluster,firm_id,revenue_estimate,productivity,employee_count,years_in_operation
hotel,-1.9450024999999995,30.088978399999995,1,2015,20.043005,,89,36800.52657336042,12266.842191120139,3,1
car_wash,-1.9452363999999998,30.13082839999999,1,2015,15.2438345,,90,24271.972032840185,2206.5429120763806,11,1
diplomatic,-1.9445084,30.0881986,1,2015,20.043005,,91,58025.914445824856,9670.98574097081,6,8
pub,-1.9454432999999998,30.1309973,1,2015,15.2438345,,92,10915.585465069042,2183.1170930138082,5,11
convenience,-1.9321314,30.073629399999994,1,2015,21.23967,,93,15872.413056359546,3174.4826112719093,5,18
hospital,-1.9528333999999998,30.1028383,1,2015,19.501509,,94,14881.76395714003,2976.352791428006,5,10
atm,-1.9591702,30.109334499999992,1,2015,23.709198,,95,5097.395754230682,1699.131918076894,3,12
fuel,-1.9681500000000003,30.088465499999998,1,2015,14.930938,,96,29617.48801189464,4936.24800198244,6,16
bank,-1.9590924999999995,30.109353099999993,1,2015,23.709198,,97,28596.947838510954,7149.2369596277385,4,5
atm,-1.9591729,30.109463100000003,1,2015,27.79873,,98,22139.385631933772,4427.877126386755,5,16
educational_institution,-1.9612963999999997,30.113098,1,2015,17.90505,,99,17420.672707512447,5806.890902504149,3,12
bank,-1.9590924999999995,30.109455,1,2015,27.79873,,100,5348.809319135454,764.1156170193506,7,6
hotel,-1.9523711000000001,30.0604224,1,2015,29.229385,,101,14463.082933406993,4821.027644468998,3,5
fuel,-1.9702280000000005,30.0771778,1,2015,11.377877,,102,15635.284771936811,2605.880795322802,6,1
atm,-1.9678053000000002,30.1018374,1,2015,10.601174,,103,9874.616274920081,1410.6594678457259,7,19
supermarket,-1.9471641000000002,30.0580267,1,2015,39.92476,,104,18745.59908410184,18745.59908410184,1,10
bank,-1.9574188999999995,30.1153104,1,2015,24.774372,,105,32993.00528148454,5498.834213580757,6,14
bank,-1.9487165000000004,30.063815199999997,1,2015,38.838333,,106,145246.25644684047,36311.56411171012,4,3
restaurant,-1.9569632000000001,30.1150529,1,2015,24.774372,,107,26227.86863603573,13113.934318017866,2,6
bar,-1.9523359,30.057626000000003,1,2015,20.97427,,108,28496.89436650375,14248.447183251876,2,5
restaurant,-1.9503241,30.059873999999997,1,2015,28.444098,,109,20446.23596694802,4089.247193389604,5,17
fuel,-1.9501193,30.0610079,1,2015,38.838333,,110,3233.2037079693155,646.6407415938631,5,18
yes,-1.9460684,30.0902935,1,2015,20.043005,,111,21450.1329945869,7150.044331528967,3,12
fuel,-1.9781261,30.051216899999993,1,2015,9.348406,,112,23393.891258633113,4678.778251726622,5,5
fuel,-1.9737514000000003,30.054462099999995,1,2015,10.799793,,113,258652.8547496741,23513.89588633401,11,9
bank,-1.9487149999999995,30.0613637,1,2015,38.838333,,114,18172.03286117661,9086.016430588305,2,12
car_wash,-1.9604056999999997,30.113527899999998,1,2015,27.79873,,115,29778.661005030808,4963.110167505135,6,9
restaurant,-1.9593150000000004,30.1087845,1,2015,23.709198,,116,21275.00589005226,4255.001178010452,5,3
bank,-1.9739389999999997,30.0543119,1,2015,10.799793,,117,6845.330105743006,2281.7767019143353,3,1
restaurant,-1.9471406999999996,30.0928711,1,2015,21.489737,,118,69066.3430082937,17266.585752073424,4,15
bar,-1.9739015,30.054247500000002,1,2015,10.799793,,119,46720.252998112555,4672.0252998112555,10,10
restaurant,-1.9594946000000002,30.1086182,1,2015,23.709198,,120,48583.145388995,48583.145388995,1,14
cafe,-1.9509364999999999,30.093198400000002,1,2015,24.882708,,121,8871.618655700988,1108.9523319626235,8,7
bakery,-1.9736174,30.054596199999995,1,2015,10.799793,,122,89571.66507402278,29857.221691340925,3,4
fuel,-1.97247,30.055787099999993,1,2015,10.028704,,123,5421.614548264061,1084.3229096528123,5,5
bus_station,-1.9613106000000002,30.111845299999995,1,2015,17.90505,,124,39610.800256214294,9902.700064053573,4,16
hotel,-1.9585286999999996,30.111024299999993,1,2015,27.79873,,125,196900.8587187582,17900.078065341655,11,3
cafe,-1.9508422,30.0929962,1,2015,24.882708,,126,8180.132887408591,2726.7109624695304,3,17
pharmacy,-1.9509600000000002,30.0929105,1,2015,24.882708,,127,12502.729636828757,3125.6824092071893,4,13
bank,-1.9508346,30.0931823,1,2015,24.882708,,128,24334.52408068065,8111.50802689355,3,6
fast_food,-1.9534138,30.095101300000003,1,2015,24.163427,,129,13313.373640604097,4437.791213534699,3,5
bank,-1.9477071,30.061682900000005,1,2015,38.838333,,130,4671.972175640215,583.9965219550269,8,16
bar,-1.9693203,30.057310500000003,1,2015,16.020905,,131,23589.64149144185,23589.64149144185,1,11
fuel,-1.9825953,30.103938699999993,1,2015,8.685258,,132,7613.6371964536565,1522.7274392907314,5,17
bus_station,-1.9633551,30.1084261,1,2015,18.030752,,133,35369.05027291999,5052.721467559998,7,5
cinema,-1.9647942,30.059943000000004,1,2015,17.017933,,134,8783.021534616864,2927.673844872288,3,6
hotel,-1.9529765,30.096604799999994,1,2015,24.753271,,135,103770.22979043268,14824.318541490384,7,10
restaurant,-1.9526575,30.096755000000005,1,2015,24.753271,,136,10064.269001468734,2012.8538002937469,5,1
hotel,-1.9562469000000002,30.062661499999997,1,2015,29.229385,,137,15961.557976174743,2280.2225680249635,7,10
bank,-1.9466348999999996,30.060206800000003,1,2015,45.0858,,138,49687.92462984699,9937.584925969397,5,17
car_wash,-1.9647378999999998,30.059492299999995,1,2015,17.017933,,139,6432.6102502005715,918.9443214572245,7,3
bank,-1.9805982,30.1047782,1,2015,8.685258,,140,27652.1824357495,5530.4364871499,5,2
fuel,-1.9468252000000001,30.0585447,1,2015,39.92476,,141,81400.99327261226,20350.248318153066,4,17
hotel,-1.9508748,30.0984072,1,2015,17.976036,,142,4413.912509305004,882.7825018610008,5,4
restaurant,-1.9508695000000003,30.09828119999999,1,2015,17.976036,,143,26492.947872302422,2408.4498065729476,11,2
guest_house,-1.9634832000000002,30.0636164,1,2015,20.325254,,144,28563.43819675952,4080.491170965646,7,5
place_of_worship,-1.9752213999999997,30.0559706,1,2015,6.57717,,145,48137.79333417017,8022.965555695028,6,10
alcohol,-1.9758648000000003,30.0542647,1,2015,9.348406,,146,6393.577750999548,2131.192583666516,3,1
fuel,-1.9307825999999997,30.0636008,1,2015,12.497031,,147,5881.360471979361,5881.360471979361,1,1
fuel,-1.9303055000000002,30.064802700000005,1,2015,13.500924,,148,37121.12767509472,3712.112767509472,10,4
fuel,-1.9343506000000001,30.062064199999995,1,2015,14.519165,,149,29643.10032305306,5928.620064610612,5,7
marketplace,-1.970214399999999,30.125998399999997,1,2015,8.388117,,150,28296.484416402473,5659.2968832804945,5,14
restaurant,-1.9688684,30.1258542,1,2015,10.111491,,151,31146.221275726926,10382.073758575641,3,14
restaurant,-1.9432828999999998,30.05915359999999,1,2015,39.92476,,152,11158.705989172664,2789.676497293166,4,18
bank,-1.9428986,30.0597422,1,2015,34.786793,,153,27785.058666616307,13892.529333308154,2,2
bar,-1.9781502999999996,30.047691999999998,1,2015,11.141965,,154,29527.35714076945,14763.678570384725,2,1
taxi,-1.9686564000000002,30.057656,1,2015,16.020905,,155,10782.16416757228,1540.30916679604,7,16
supermarket,-1.9437009,30.0594786,1,2015,39.92476,,156,142311.63023685358,47437.2100789512,3,18
restaurant,-1.9438030999999998,30.059752200000002,1,2015,39.92476,,157,35377.55720848008,35377.55720848008,1,16
car_wash,-1.9787525000000001,30.049118100000005,1,2015,11.141965,,158,6692.190327808257,2230.7301092694192,3,6
bank,-1.9461854,30.0598492,1,2015,39.92476,,159,42470.01636482017,6067.1451949743105,7,10
school,-1.9766973999999995,30.051264700000004,1,2015,9.348406,,160,8310.859646842662,1662.1719293685323,5,2
place_of_worship,-1.9762041,30.0518441,1,2015,9.348406,,161,48391.74903759506,9678.349807519011,5,7
school,-1.9499743999999994,30.082583300000003,1,2015,18.88896,,162,70164.34668424897,17541.086671062243,4,17
place_of_worship,-1.9770405,30.0525844,1,2015,9.348406,,163,9694.535756069537,1938.9071512139076,5,3
place_of_worship,-1.946461,30.078201599999996,1,2015,15.82708,,164,57720.9879645532,11544.19759291064,5,12
convenience,-1.9326861,30.073738199999998,1,2015,21.23967,,165,33282.297464303425,11094.099154767808,3,2
kiosk,-1.932804,30.0737784,1,2015,21.23967,,166,50114.22405218491,16704.7413507283,3,7
fuel,-1.9345169999999998,30.0778877,1,2015,18.911425,,167,146795.0951256793,24465.849187613218,6,17
motel,-1.9738758,30.054022999999997,1,2015,10.799793,,168,17233.524834104926,2872.254139017488,6,19
restaurant,-1.9461849999999996,30.1061252,1,2015,9.587131,,169,10365.765076893427,2591.441269223357,4,12
cafe,-1.9507881000000002,30.1235299,1,2015,18.271624,,170,9049.688085183881,1005.5208983537646,9,9
supermarket,-1.9254397999999995,30.097182400000005,1,2015,13.386457,,171,9741.883103209713,1623.6471838682855,6,14
bar,-1.971235,30.076617699999996,1,2015,11.377877,,172,20392.007025655854,4078.4014051311706,5,2
nightclub,-1.9253856999999996,30.097273400000002,1,2015,13.386457,,173,30981.699635623678,6196.339927124735,5,4
supermarket,-1.9601494,30.108625499999995,1,2015,23.709198,,174,29047.590026272046,7261.8975065680115,4,19
supermarket,-1.9607940999999998,30.107322700000005,1,2015,23.709198,,175,50371.62245875581,5037.162245875581,10,16
restaurant,-1.933393,30.108627800000004,1,2015,8.781303,,176,22314.72139482562,3719.120232470937,6,17
school,-1.9612047,30.0604818,1,2015,20.325254,,177,94233.7877411078,47116.8938705539,2,2
bar,-1.9737666999999999,30.0778578,1,2015,11.377877,,178,16904.635728561825,4226.158932140456,4,17
bank,-1.9581971,30.1114654,1,2015,27.79873,,179,334425.4175050694,111475.13916835647,3,19
hotel,-1.9359527,30.1322202,1,2015,9.46916,,180,41178.326774599394,20589.163387299697,2,8
school,-1.9323445000000001,30.134870299999996,1,2015,8.917836,,181,9347.29657007022,1869.4593140140441,5,6
motel,-1.9365309999999996,30.130110999999996,1,2015,8.249643,,182,7548.525324739861,1258.0875541233102,6,12
bar,-1.9372634999999996,30.129589100000004,1,2015,8.249643,,183,35684.52552961398,7136.905105922796,5,18
bar,-1.9293670000000003,30.109330499999995,1,2015,9.224108,,184,17615.548256009457,1761.5548256009456,10,2
hotel,-1.9424722000000003,30.1298225,1,2015,11.189579,,185,44981.22655739693,8996.245311479386,5,19
bank,-1.9488563,30.125765,1,2015,18.271624,,186,35356.5033454834,7071.3006690966795,5,10
bank,-1.9487570999999997,30.125950999999997,1,2015,18.271624,,187,20479.324338870425,5119.831084717606,4,3
pub,-1.9713970000000003,30.0776969,1,2015,11.377877,,188,9444.674171972323,2361.168542993081,4,12
bank,-1.9583364000000003,30.110529599999996,1,2015,27.79873,,189,4842.337198046443,1614.1123993488143,3,16
nightclub,-1.9526822,30.081343199999992,1,2015,15.596899,,190,14093.726495138299,2348.954415856383,6,12
townhall,-1.9444896,30.0896132,1,2015,20.043005,,191,51864.965066732235,12966.241266683059,4,8
fuel,-1.960301,30.1198496,1,2015,17.7866,,192,27285.037230677266,13642.518615338633,2,5
books,-1.9707829,30.076927100000002,1,2015,11.377877,,193,6337.636722824863,704.1818580916514,9,11
toys,-1.9584939,30.111614700000004,1,2015,27.79873,,194,26191.25684502816,5238.251369005632,5,10
supermarket,-1.9583009000000002,30.111335699999994,1,2015,27.79873,,195,32380.684925103615,3597.8538805670682,9,3
hairdresser,-1.9584832,30.111432300000004,1,2015,27.79873,,196,9101.027186743582,1820.2054373487165,5,9
place_of_worship,-1.9699,30.0791149,1,2015,17.111645,,197,25686.609550718378,5137.321910143675,5,12
hotel,-1.9604399999999997,30.109147000000004,1,2015,23.709198,,198,23346.648472950783,23346.648472950783,1,6
bank,-1.9602363,30.1095601,1,2015,27.79873,,199,7023.589577576735,1404.717915515347,5,19
bank,-1.9603273999999995,30.1093294,1,2015,23.709198,,200,31501.40290057782,3937.6753625722276,8,16
bank,-1.9684337,30.103235699999995,1,2015,10.601174,,201,38591.39203727975,6431.898672879958,6,14
diplomatic,-1.9470303999999998,30.0914364,1,2015,21.489737,,202,65059.0919735412,32529.5459867706,2,4
restaurant,-1.9296904000000001,30.065764699999995,1,2015,13.500924,,203,63183.72631963208,12636.745263926416,5,18
restaurant,-1.9656945,30.0806733,1,2015,17.111645,,204,5554.31638804572,1110.863277609144,5,10
fuel,-1.9657365000000002,30.080934200000005,1,2015,17.111645,,205,8622.884703780815,2155.721175945204,4,18
cafe,-1.9461606,30.060915099999995,1,2015,45.0858,,206,36865.64133805426,6144.273556342377,6,12
atm,-1.9483447000000003,30.060049599999992,1,2015,38.838333,,207,36819.613249358816,7363.9226498717635,5,19
car,-1.9453407999999996,30.060844399999997,1,2015,45.0858,,208,36866.09917888728,6144.34986314788,6,8
hotel,-1.9266583000000002,30.094745,1,2015,10.311433,,209,1037922.3064765224,207584.46129530447,5,1
school,-1.9138618,30.074521800000003,1,2015,8.321276,,210,38983.37338284051,9745.843345710127,4,14
pharmacy,-1.9175407999999998,30.0720782,1,2015,10.199739,,211,68566.93086878084,9795.275838397263,7,6
fountain,-1.9313755,30.0597091,1,2015,12.018704,,212,57182.4186288851,11436.48372577702,5,14
viewpoint,-1.9316828,30.060676799999996,1,2015,12.497031,,213,42251.335903609724,6035.905129087104,7,2
viewpoint,-1.9757339,30.1737859,1,2015,6.2177105,,214,16070.342240457769,2678.390373409628,6,9
museum,-1.94668,30.053526899999998,1,2015,23.471342,,215,47050.144701544334,11762.536175386083,4,12
cafe,-1.9253431000000003,30.0964279,1,2015,13.386457,,216,10169.769107210643,1271.2211384013303,8,5
books,-1.949822,30.091208300000005,1,2015,22.608042,,217,17381.842281011817,4345.460570252954,4,2
camp_site,-1.9368888,30.088951300000005,1,2015,12.969356,,218,13556.703838253525,4518.901279417842,3,19
fountain,-1.9316366999999999,30.059901600000003,1,2015,12.018704,,219,23905.746285734695,4781.149257146939,5,7
university,-1.9445848999999995,30.0895946,1,2015,20.043005,,220,222940.136156164,22294.0136156164,10,7
educational_institution,-1.9455488000000005,30.0641823,1,2015,45.0858,,221,3404.0963948666495,567.3493991444416,6,10
hotel,-1.9395927,30.061115200000003,1,2015,28.680727,,222,43750.5818171266,10937.64545428165,4,17
guest_house,-1.9427605999999997,30.0429507,1,2015,22.349237,,223,4390.876431308466,1463.6254771028218,3,14
electronics,-1.9298793,30.0705939,1,2015,19.828686,,224,13740.02155030318,4580.0071834343935,3,11
hotel,-1.9431048,30.0868109,1,2015,18.671816,,225,65444.03290946604,13088.806581893208,5,6
diplomatic,-1.9504223000000003,30.092072699999996,1,2015,24.882708,,226,23488.82415391526,11744.41207695763,2,8
cafe,-1.9498517000000002,30.091285299999996,1,2015,22.608042,,227,7496.977528283216,1249.4962547138693,6,19
Water & Energy Solutions,-1.9393806,30.059066400000003,1,2015,34.786793,,228,10771.901294553843,5385.950647276922,2,19
disused,-1.9498378000000003,30.0920444,1,2015,24.882708,,229,43460.064978148686,8692.012995629737,5,17
bakery,-1.9521379000000003,30.074917500000005,1,2015,20.627598,,230,10610.860895044596,5305.430447522298,2,18
fuel,-1.9559423000000002,30.14413409999999,1,2015,8.137548,,231,27349.63848275537,4558.273080459228,6,12
fuel,-1.984684,30.1868215,1,2015,4.489303,,232,23053.476005660807,7684.492001886935,3,9
fuel,-1.9849801999999999,30.188931699999994,1,2015,4.489303,,233,11480.436047617832,2296.0872095235663,5,16
hookah_lounge,-1.9526466,30.242301499999993,1,2015,0.85746354,,234,187952.41335608167,93976.20667804083,2,18
fuel,-1.9812272999999996,30.2175066,1,2015,3.7078142,,235,41519.52270867992,6919.920451446654,6,16
fuel,-1.9486972999999999,30.022905599999994,1,2015,3.3536308,,236,2906.94335121365,484.4905585356084,6,16
fountain,-1.9535817,30.0923694,1,2015,24.163427,,237,26541.221050769058,3791.6030072527224,7,4
place_of_worship,-1.9637598,30.1048273,1,2015,14.9223585,,238,11364.088551559613,1894.0147585932689,6,7
cafe,-1.9486692000000003,30.074094099999996,1,2015,25.23342,,239,51659.70389329126,8609.950648881877,6,1
yes,-1.9480810999999998,30.091748999999993,1,2015,24.882708,,240,9971.429786668066,2492.8574466670166,4,1
disused,-1.9491051000000001,30.091416399999996,1,2015,24.882708,,241,19638.82117628685,4909.705294071712,4,8
yes,-1.9531118,30.084207799999994,1,2015,19.444075,,242,36497.0706060194,5213.867229431343,7,8
yes,-1.9532238,30.0840617,1,2015,19.444075,,243,52352.5117018224,10470.50234036448,5,10
company,-1.9390773,30.0533578,1,2015,24.13766,,244,6632.277860948757,1326.4555721897514,5,1
restaurant,-1.9460417999999995,30.106124799999996,1,2015,9.587131,,245,15764.23056349339,1970.5288204366736,8,14
ngo,-1.9545677999999997,30.079088099999993,1,2015,15.596899,,246,13698.67906889781,3424.6697672244527,4,14
clinic,-1.9498275,30.0794748,1,2015,17.64152,,247,11460.604842186387,5730.3024210931935,2,10
ngo,-1.9511503,30.07974039999999,1,2015,17.64152,,248,128727.65374043927,42909.217913479755,3,19
restaurant,-1.9502353,30.0781417,1,2015,17.64152,,249,33023.73125573516,8255.93281393379,4,16
marketplace,-1.9595709000000001,30.081513999999995,1,2015,13.7080765,,250,6242.375298013146,1040.3958830021909,6,9
guest_house,-1.9475141,30.066908299999994,1,2015,40.423325,,251,55152.75328760275,6128.083698622528,9,16
atm,-1.9467523999999998,30.060534399999998,1,2015,45.0858,,252,183901.61582977712,61300.53860992571,3,8
ngo,-1.9299047999999996,30.17488489999999,1,2015,0.90740865,,253,61849.86904702087,12369.973809404173,5,7
place_of_worship,-1.8767613999999997,30.1572416,1,2015,0.30093634,,254,4820.48601064755,1606.82867021585,3,11
school,-1.9325037999999992,30.067788399999998,1,2015,13.500924,,255,13572.024446310535,6786.012223155268,2,6
hotel,-1.9266823,30.097467200000004,1,2015,13.386457,,256,78191.10311762324,19547.77577940581,4,15
restaurant,-1.9458375,30.068817499999994,1,2015,40.423325,,257,10854.451316074661,1206.0501462305178,9,19
dentist,-1.9469071999999996,30.067258899999995,1,2015,40.423325,,258,34331.52915042711,8582.882287606777,4,14
guest_house,-1.9480509,30.0585774,1,2015,28.444098,,259,47792.980366081974,9558.596073216395,5,15
bicycle,-1.9407657999999999,30.042552900000004,1,2015,22.349237,,260,8717.340905961866,1089.6676132452333,8,6
