type,lat,lon,activity_score,cluster,firm_id,revenue_estimate,employee_count,years_in_operation,productivity
company,-1.9455784999999997,30.06013,1,,32,21731.16697604606,4,10,5432.791744011515
supermarket,-1.9460621000000002,30.059904300000003,1,,33,7648.685416272549,1,9,7648.685416272549
supermarket,-1.9458437,30.0615291,1,,34,50138.52291695717,4,9,12534.630729239292
fuel,-1.9447886999999997,30.0596034,1,,35,6497.393334753408,3,6,2165.797778251136
doityourself,-1.9427185,30.060411,1,,36,27142.704951043062,5,12,5428.540990208612
doityourself,-1.9430633999999996,30.059472200000002,1,,37,3103.6368371587087,6,14,517.2728061931181
doityourself,-1.9432216000000002,30.059257699999993,1,,38,5836.0761104503945,6,7,972.6793517417324
supermarket,-1.9458714999999998,30.05578029999999,1,,39,26818.875703243204,4,8,6704.718925810801
hotel,-1.9528484,30.0574064,1,,40,46095.31421974837,4,8,11523.828554937092
books,-1.9485917,30.059257800000005,1,,41,26143.824405204305,5,8,5228.764881040861
bank,-1.951466,30.062500999999997,1,,42,19620.921857397316,1,2,19620.921857397316
doityourself,-1.9521082,30.057158100000002,1,,43,16299.607461865124,9,14,1811.0674957627916
restaurant,-1.9571198,30.109457599999995,1,,44,5021.470055876356,7,10,717.3528651251937
fuel,-1.9408318,30.0431581,1,,45,10723.102355653436,5,18,2144.6204711306873
fuel,-1.9385599000000002,30.0437693,1,,46,13896.068384041657,4,18,3474.017096010414
hotel,-1.9794787,30.0401562,1,,47,63393.85593704241,5,18,12678.771187408482
nightclub,-1.9795484,30.0402019,1,,48,31058.20456230627,4,16,7764.551140576567
biergarten,-1.9789955,30.040593299999994,1,,49,3778.0370116447066,1,5,3778.0370116447066
biergarten,-1.9790662,30.040522700000004,1,,50,30457.39099786559,3,5,10152.463665955196
bank,-1.9471565,30.0600806,1,,51,14986.689501631581,7,10,2140.9556430902257
cafe,-1.9455336,30.061501700000004,1,,52,11193.382110971006,6,17,1865.5636851618344
townhall,-1.9389379999999998,30.0817494,1,,53,40606.209970866876,10,13,4060.6209970866876
place_of_worship,-1.9779613999999999,30.1128279,1,,54,61759.27974656065,4,17,15439.819936640162
place_of_worship,-1.9856038,30.111897399999997,1,,55,55897.789756188,5,18,11179.5579512376
townhall,-1.9845955999999996,30.103490800000003,1,,56,9516.500605720707,6,13,1586.0834342867845
public_building,-1.974616,30.1135577,1,,57,16167.973566397854,6,17,2694.662261066309
hotel,-1.9736965999999998,30.106564999999996,1,,58,30676.845519479393,8,15,3834.605689934924
school,-1.9876921,30.100602499999994,1,,59,58427.68572549429,4,12,14606.921431373572
school,-1.9130328999999997,30.0871395,1,,60,13640.87067931674,3,10,4546.95689310558
school,-1.9129694,30.087071099999992,1,,61,18294.230636104792,3,13,6098.076878701598
school,-1.9576254999999991,30.094340500000005,1,,62,7285.6724901890175,9,11,809.5191655765575
place_of_worship,-1.9512676000000002,30.122306900000005,1,,63,6659.457980540537,7,3,951.3511400772196
telephone,-1.9449359,30.0589102,1,,64,49638.68868119607,2,10,24819.344340598036
supermarket,-1.9280683,30.0590945,1,,65,85497.29598948982,2,11,42748.64799474491
hotel,-1.9411966999999997,30.065208300000002,1,,66,20496.09949362894,4,6,5124.024873407235
bar,-1.9695800000000003,30.103453000000002,1,,67,60086.04504025181,6,1,10014.340840041968
kiosk,-1.9713054999999995,30.103740299999995,1,,68,31622.874840345532,9,6,3513.6527600383924
restaurant,-1.9495264999999995,30.0800812,1,,69,11555.077680902401,11,5,1050.4616073547638
place_of_worship,-1.9020191999999996,30.0539351,1,,70,31615.272997200005,4,7,7903.818249300001
place_of_worship,-1.8882028999999998,30.036428499999996,1,,71,102542.90408961695,7,12,14648.986298516707
place_of_worship,-1.811795,30.184887299999993,1,,72,21251.313004484164,7,12,3035.9018577834518
fuel,-1.9347344999999996,30.0625645,1,,73,105307.8933407908,3,7,35102.63111359694
bar,-1.9406793,30.103468499999998,1,,74,1603.9985684046467,7,2,229.14265262923524
cafe,-1.9404434,30.1033451,1,,75,50106.32388592713,5,1,10021.264777185426
mobile_phone,-1.9405213999999997,30.102849199999998,1,,76,24029.72941189246,2,18,12014.86470594623
atm,-1.9408380999999995,30.103315899999995,1,,77,16333.812905161829,9,12,1814.8681005735366
hairdresser,-1.9410296,30.103527500000002,1,,78,24143.265925584557,6,7,4023.877654264093
hotel,-1.9434288000000002,30.064602300000004,1,,79,3018.2458142533906,3,19,1006.0819380844636
bank,-1.9477632,30.05954489999999,1,,80,17682.453729420096,6,3,2947.075621570016
convenience,-1.9445235000000003,30.0595921,1,,81,31480.15327587638,3,10,10493.384425292126
restaurant,-1.9421606,30.056262199999992,1,,82,96557.50771911746,2,11,48278.75385955873
bar,-1.954729,30.081728599999998,1,,83,13117.857931159022,8,5,1639.7322413948777
bar,-1.9509815000000001,30.083869,1,,84,9813.422761981241,4,2,2453.3556904953102
bar,-1.9326535,30.073709599999997,1,,85,13336.27381736074,5,8,2667.2547634721477
hotel,-1.9053022,30.042900500000002,1,,86,55017.25364750255,4,14,13754.313411875637
convenience,-1.9474594,30.092958000000003,1,,87,30599.872144875004,3,8,10199.957381625001
bar,-1.9724036999999996,30.0782269,1,,88,12967.99653517715,4,6,3241.9991337942874
hotel,-1.9450024999999995,30.088978399999995,1,,89,36800.52657336042,3,1,12266.842191120139
car_wash,-1.9452363999999998,30.13082839999999,1,,90,24271.972032840185,11,1,2206.5429120763806
diplomatic,-1.9445084,30.0881986,1,,91,58025.914445824856,6,8,9670.98574097081
pub,-1.9454432999999998,30.1309973,1,,92,10915.585465069042,5,11,2183.1170930138082
convenience,-1.9321314,30.073629399999994,1,,93,15872.413056359546,5,18,3174.4826112719093
hospital,-1.9528333999999998,30.1028383,1,,94,14881.76395714003,5,10,2976.352791428006
atm,-1.9591702,30.109334499999992,1,,95,5097.395754230682,3,12,1699.131918076894
fuel,-1.9681500000000003,30.088465499999998,1,,96,29617.48801189464,6,16,4936.24800198244
bank,-1.9590924999999995,30.109353099999993,1,,97,28596.947838510954,4,5,7149.2369596277385
atm,-1.9591729,30.109463100000003,1,,98,22139.385631933772,5,16,4427.877126386755
educational_institution,-1.9612963999999997,30.113098,1,,99,17420.672707512447,3,12,5806.890902504149
bank,-1.9590924999999995,30.109455,1,,100,5348.809319135454,7,6,764.1156170193506
hotel,-1.9523711000000001,30.0604224,1,,101,14463.082933406993,3,5,4821.027644468998
fuel,-1.9702280000000005,30.0771778,1,,102,15635.284771936811,6,1,2605.880795322802
atm,-1.9678053000000002,30.1018374,1,,103,9874.616274920081,7,19,1410.6594678457259
supermarket,-1.9471641000000002,30.0580267,1,,104,18745.59908410184,1,10,18745.59908410184
bank,-1.9574188999999995,30.1153104,1,,105,32993.00528148454,6,14,5498.834213580757
bank,-1.9487165000000004,30.063815199999997,1,,106,145246.25644684047,4,3,36311.56411171012
restaurant,-1.9569632000000001,30.1150529,1,,107,26227.86863603573,2,6,13113.934318017866
bar,-1.9523359,30.057626000000003,1,,108,28496.89436650375,2,5,14248.447183251876
restaurant,-1.9503241,30.059873999999997,1,,109,20446.23596694802,5,17,4089.247193389604
fuel,-1.9501193,30.0610079,1,,110,3233.2037079693155,5,18,646.6407415938631
yes,-1.9460684,30.0902935,1,,111,21450.1329945869,3,12,7150.044331528967
fuel,-1.9781261,30.051216899999993,1,,112,23393.891258633113,5,5,4678.778251726622
fuel,-1.9737514000000003,30.054462099999995,1,,113,258652.8547496741,11,9,23513.89588633401
bank,-1.9487149999999995,30.0613637,1,,114,18172.03286117661,2,12,9086.016430588305
car_wash,-1.9604056999999997,30.113527899999998,1,,115,29778.661005030808,6,9,4963.110167505135
restaurant,-1.9593150000000004,30.1087845,1,,116,21275.00589005226,5,3,4255.001178010452
bank,-1.9739389999999997,30.0543119,1,,117,6845.330105743006,3,1,2281.7767019143353
restaurant,-1.9471406999999996,30.0928711,1,,118,69066.3430082937,4,15,17266.585752073424
bar,-1.9739015,30.054247500000002,1,,119,46720.252998112555,10,10,4672.0252998112555
restaurant,-1.9594946000000002,30.1086182,1,,120,48583.145388995,1,14,48583.145388995
cafe,-1.9509364999999999,30.093198400000002,1,,121,8871.618655700988,8,7,1108.9523319626235
bakery,-1.9736174,30.054596199999995,1,,122,89571.66507402278,3,4,29857.221691340925
fuel,-1.97247,30.055787099999993,1,,123,5421.614548264061,5,5,1084.3229096528123
bus_station,-1.9613106000000002,30.111845299999995,1,,124,39610.800256214294,4,16,9902.700064053573
hotel,-1.9585286999999996,30.111024299999993,1,,125,196900.8587187582,11,3,17900.078065341655
cafe,-1.9508422,30.0929962,1,,126,8180.132887408591,3,17,2726.7109624695304
pharmacy,-1.9509600000000002,30.0929105,1,,127,12502.729636828757,4,13,3125.6824092071893
bank,-1.9508346,30.0931823,1,,128,24334.52408068065,3,6,8111.50802689355
fast_food,-1.9534138,30.095101300000003,1,,129,13313.373640604097,3,5,4437.791213534699
bank,-1.9477071,30.061682900000005,1,,130,4671.972175640215,8,16,583.9965219550269
bar,-1.9693203,30.057310500000003,1,,131,23589.64149144185,1,11,23589.64149144185
fuel,-1.9825953,30.103938699999993,1,,132,7613.6371964536565,5,17,1522.7274392907314
bus_station,-1.9633551,30.1084261,1,,133,35369.05027291999,7,5,5052.721467559998
cinema,-1.9647942,30.059943000000004,1,,134,8783.021534616864,3,6,2927.673844872288
hotel,-1.9529765,30.096604799999994,1,,135,103770.22979043268,7,10,14824.318541490384
restaurant,-1.9526575,30.096755000000005,1,,136,10064.269001468734,5,1,2012.8538002937469
hotel,-1.9562469000000002,30.062661499999997,1,,137,15961.557976174743,7,10,2280.2225680249635
bank,-1.9466348999999996,30.060206800000003,1,,138,49687.92462984699,5,17,9937.584925969397
car_wash,-1.9647378999999998,30.059492299999995,1,,139,6432.6102502005715,7,3,918.9443214572245
bank,-1.9805982,30.1047782,1,,140,27652.1824357495,5,2,5530.4364871499
fuel,-1.9468252000000001,30.0585447,1,,141,81400.99327261226,4,17,20350.248318153066
hotel,-1.9508748,30.0984072,1,,142,4413.912509305004,5,4,882.7825018610008
restaurant,-1.9508695000000003,30.09828119999999,1,,143,26492.947872302422,11,2,2408.4498065729476
guest_house,-1.9634832000000002,30.0636164,1,,144,28563.43819675952,7,5,4080.491170965646
place_of_worship,-1.9752213999999997,30.0559706,1,,145,48137.79333417017,6,10,8022.965555695028
alcohol,-1.9758648000000003,30.0542647,1,,146,6393.577750999548,3,1,2131.192583666516
fuel,-1.9307825999999997,30.0636008,1,,147,5881.360471979361,1,1,5881.360471979361
fuel,-1.9303055000000002,30.064802700000005,1,,148,37121.12767509472,10,4,3712.112767509472
fuel,-1.9343506000000001,30.062064199999995,1,,149,29643.10032305306,5,7,5928.620064610612
marketplace,-1.970214399999999,30.125998399999997,1,,150,28296.484416402473,5,14,5659.2968832804945
restaurant,-1.9688684,30.1258542,1,,151,31146.221275726926,3,14,10382.073758575641
restaurant,-1.9432828999999998,30.05915359999999,1,,152,11158.705989172664,4,18,2789.676497293166
bank,-1.9428986,30.0597422,1,,153,27785.058666616307,2,2,13892.529333308154
bar,-1.9781502999999996,30.047691999999998,1,,154,29527.35714076945,2,1,14763.678570384725
taxi,-1.9686564000000002,30.057656,1,,155,10782.16416757228,7,16,1540.30916679604
supermarket,-1.9437009,30.0594786,1,,156,142311.63023685358,3,18,47437.2100789512
restaurant,-1.9438030999999998,30.059752200000002,1,,157,35377.55720848008,1,16,35377.55720848008
car_wash,-1.9787525000000001,30.049118100000005,1,,158,6692.190327808257,3,6,2230.7301092694192
bank,-1.9461854,30.0598492,1,,159,42470.01636482017,7,10,6067.1451949743105
school,-1.9766973999999995,30.051264700000004,1,,160,8310.859646842662,5,2,1662.1719293685323
place_of_worship,-1.9762041,30.0518441,1,,161,48391.74903759506,5,7,9678.349807519011
school,-1.9499743999999994,30.082583300000003,1,,162,70164.34668424897,4,17,17541.086671062243
place_of_worship,-1.9770405,30.0525844,1,,163,9694.535756069537,5,3,1938.9071512139076
place_of_worship,-1.946461,30.078201599999996,1,,164,57720.9879645532,5,12,11544.19759291064
convenience,-1.9326861,30.073738199999998,1,,165,33282.297464303425,3,2,11094.099154767808
kiosk,-1.932804,30.0737784,1,,166,50114.22405218491,3,7,16704.7413507283
fuel,-1.9345169999999998,30.0778877,1,,167,146795.0951256793,6,17,24465.849187613218
motel,-1.9738758,30.054022999999997,1,,168,17233.524834104926,6,19,2872.254139017488
restaurant,-1.9461849999999996,30.1061252,1,,169,10365.765076893427,4,12,2591.441269223357
cafe,-1.9507881000000002,30.1235299,1,,170,9049.688085183881,9,9,1005.5208983537646
supermarket,-1.9254397999999995,30.097182400000005,1,,171,9741.883103209713,6,14,1623.6471838682855
bar,-1.971235,30.076617699999996,1,,172,20392.007025655854,5,2,4078.4014051311706
nightclub,-1.9253856999999996,30.097273400000002,1,,173,30981.699635623678,5,4,6196.339927124735
supermarket,-1.9601494,30.108625499999995,1,,174,29047.590026272046,4,19,7261.8975065680115
supermarket,-1.9607940999999998,30.107322700000005,1,,175,50371.62245875581,10,16,5037.162245875581
restaurant,-1.933393,30.108627800000004,1,,176,22314.72139482562,6,17,3719.120232470937
school,-1.9612047,30.0604818,1,,177,94233.7877411078,2,2,47116.8938705539
bar,-1.9737666999999999,30.0778578,1,,178,16904.635728561825,4,17,4226.158932140456
bank,-1.9581971,30.1114654,1,,179,334425.4175050694,3,19,111475.13916835647
hotel,-1.9359527,30.1322202,1,,180,41178.326774599394,2,8,20589.163387299697
school,-1.9323445000000001,30.134870299999996,1,,181,9347.29657007022,5,6,1869.4593140140441
motel,-1.9365309999999996,30.130110999999996,1,,182,7548.525324739861,6,12,1258.0875541233102
bar,-1.9372634999999996,30.129589100000004,1,,183,35684.52552961398,5,18,7136.905105922796
bar,-1.9293670000000003,30.109330499999995,1,,184,17615.548256009457,10,2,1761.5548256009456
hotel,-1.9424722000000003,30.1298225,1,,185,44981.22655739693,5,19,8996.245311479386
bank,-1.9488563,30.125765,1,,186,35356.5033454834,5,10,7071.3006690966795
bank,-1.9487570999999997,30.125950999999997,1,,187,20479.324338870425,4,3,5119.831084717606
pub,-1.9713970000000003,30.0776969,1,,188,9444.674171972323,4,12,2361.168542993081
bank,-1.9583364000000003,30.110529599999996,1,,189,4842.337198046443,3,16,1614.1123993488143
nightclub,-1.9526822,30.081343199999992,1,,190,14093.726495138299,6,12,2348.954415856383
townhall,-1.9444896,30.0896132,1,,191,51864.965066732235,4,8,12966.241266683059
fuel,-1.960301,30.1198496,1,,192,27285.037230677266,2,5,13642.518615338633
books,-1.9707829,30.076927100000002,1,,193,6337.636722824863,9,11,704.1818580916514
toys,-1.9584939,30.111614700000004,1,,194,26191.25684502816,5,10,5238.251369005632
supermarket,-1.9583009000000002,30.111335699999994,1,,195,32380.684925103615,9,3,3597.8538805670682
hairdresser,-1.9584832,30.111432300000004,1,,196,9101.027186743582,5,9,1820.2054373487165
place_of_worship,-1.9699,30.0791149,1,,197,25686.609550718378,5,12,5137.321910143675
hotel,-1.9604399999999997,30.109147000000004,1,,198,23346.648472950783,1,6,23346.648472950783
bank,-1.9602363,30.1095601,1,,199,7023.589577576735,5,19,1404.717915515347
bank,-1.9603273999999995,30.1093294,1,,200,31501.40290057782,8,16,3937.6753625722276
bank,-1.9684337,30.103235699999995,1,,201,38591.39203727975,6,14,6431.898672879958
diplomatic,-1.9470303999999998,30.0914364,1,,202,65059.0919735412,2,4,32529.5459867706
restaurant,-1.9296904000000001,30.065764699999995,1,,203,63183.72631963208,5,18,12636.745263926416
restaurant,-1.9656945,30.0806733,1,,204,5554.31638804572,5,10,1110.863277609144
fuel,-1.9657365000000002,30.080934200000005,1,,205,8622.884703780815,4,18,2155.721175945204
cafe,-1.9461606,30.060915099999995,1,,206,36865.64133805426,6,12,6144.273556342377
atm,-1.9483447000000003,30.060049599999992,1,,207,36819.613249358816,5,19,7363.9226498717635
car,-1.9453407999999996,30.060844399999997,1,,208,36866.09917888728,6,8,6144.34986314788
hotel,-1.9266583000000002,30.094745,1,,209,1037922.3064765224,5,1,207584.46129530447
school,-1.9138618,30.074521800000003,1,,210,38983.37338284051,4,14,9745.843345710127
pharmacy,-1.9175407999999998,30.0720782,1,,211,68566.93086878084,7,6,9795.275838397263
fountain,-1.9313755,30.0597091,1,,212,57182.4186288851,5,14,11436.48372577702
viewpoint,-1.9316828,30.060676799999996,1,,213,42251.335903609724,7,2,6035.905129087104
viewpoint,-1.9757339,30.1737859,1,,214,16070.342240457769,6,9,2678.390373409628
museum,-1.94668,30.053526899999998,1,,215,47050.144701544334,4,12,11762.536175386083
cafe,-1.9253431000000003,30.0964279,1,,216,10169.769107210643,8,5,1271.2211384013303
books,-1.949822,30.091208300000005,1,,217,17381.842281011817,4,2,4345.460570252954
camp_site,-1.9368888,30.088951300000005,1,,218,13556.703838253525,3,19,4518.901279417842
fountain,-1.9316366999999999,30.059901600000003,1,,219,23905.746285734695,5,7,4781.149257146939
university,-1.9445848999999995,30.0895946,1,,220,222940.136156164,10,7,22294.0136156164
educational_institution,-1.9455488000000005,30.0641823,1,,221,3404.0963948666495,6,10,567.3493991444416
hotel,-1.9395927,30.061115200000003,1,,222,43750.5818171266,4,17,10937.64545428165
guest_house,-1.9427605999999997,30.0429507,1,,223,4390.876431308466,3,14,1463.6254771028218
electronics,-1.9298793,30.0705939,1,,224,13740.02155030318,3,11,4580.0071834343935
hotel,-1.9431048,30.0868109,1,,225,65444.03290946604,5,6,13088.806581893208
diplomatic,-1.9504223000000003,30.092072699999996,1,,226,23488.82415391526,2,8,11744.41207695763
cafe,-1.9498517000000002,30.091285299999996,1,,227,7496.977528283216,6,19,1249.4962547138693
Water & Energy Solutions,-1.9393806,30.059066400000003,1,,228,10771.901294553843,2,19,5385.950647276922
disused,-1.9498378000000003,30.0920444,1,,229,43460.064978148686,5,17,8692.012995629737
bakery,-1.9521379000000003,30.074917500000005,1,,230,10610.860895044596,2,18,5305.430447522298
fuel,-1.9559423000000002,30.14413409999999,1,,231,27349.63848275537,6,12,4558.273080459228
fuel,-1.984684,30.1868215,1,,232,23053.476005660807,3,9,7684.492001886935
fuel,-1.9849801999999999,30.188931699999994,1,,233,11480.436047617832,5,16,2296.0872095235663
hookah_lounge,-1.9526466,30.242301499999993,1,,234,187952.41335608167,2,18,93976.20667804083
fuel,-1.9812272999999996,30.2175066,1,,235,41519.52270867992,6,16,6919.920451446654
fuel,-1.9486972999999999,30.022905599999994,1,,236,2906.94335121365,6,16,484.4905585356084
fountain,-1.9535817,30.0923694,1,,237,26541.221050769058,7,4,3791.6030072527224
place_of_worship,-1.9637598,30.1048273,1,,238,11364.088551559613,6,7,1894.0147585932689
cafe,-1.9486692000000003,30.074094099999996,1,,239,51659.70389329126,6,1,8609.950648881877
yes,-1.9480810999999998,30.091748999999993,1,,240,9971.429786668066,4,1,2492.8574466670166
disused,-1.9491051000000001,30.091416399999996,1,,241,19638.82117628685,4,8,4909.705294071712
yes,-1.9531118,30.084207799999994,1,,242,36497.0706060194,7,8,5213.867229431343
yes,-1.9532238,30.0840617,1,,243,52352.5117018224,5,10,10470.50234036448
company,-1.9390773,30.0533578,1,,244,6632.277860948757,5,1,1326.4555721897514
restaurant,-1.9460417999999995,30.106124799999996,1,,245,15764.23056349339,8,14,1970.5288204366736
ngo,-1.9545677999999997,30.079088099999993,1,,246,13698.67906889781,4,14,3424.6697672244527
clinic,-1.9498275,30.0794748,1,,247,11460.604842186387,2,10,5730.3024210931935
ngo,-1.9511503,30.07974039999999,1,,248,128727.65374043927,3,19,42909.217913479755
restaurant,-1.9502353,30.0781417,1,,249,33023.73125573516,4,16,8255.93281393379
marketplace,-1.9595709000000001,30.081513999999995,1,,250,6242.375298013146,6,9,1040.3958830021909
guest_house,-1.9475141,30.066908299999994,1,,251,55152.75328760275,9,16,6128.083698622528
atm,-1.9467523999999998,30.060534399999998,1,,252,183901.61582977712,3,8,61300.53860992571
ngo,-1.9299047999999996,30.17488489999999,1,,253,61849.86904702087,5,7,12369.973809404173
place_of_worship,-1.8767613999999997,30.1572416,1,,254,4820.48601064755,3,11,1606.82867021585
school,-1.9325037999999992,30.067788399999998,1,,255,13572.024446310535,2,6,6786.012223155268
hotel,-1.9266823,30.097467200000004,1,,256,78191.10311762324,4,15,19547.77577940581
restaurant,-1.9458375,30.068817499999994,1,,257,10854.451316074661,9,19,1206.0501462305178
dentist,-1.9469071999999996,30.067258899999995,1,,258,34331.52915042711,4,14,8582.882287606777
guest_house,-1.9480509,30.0585774,1,,259,47792.980366081974,5,15,9558.596073216395
bicycle,-1.9407657999999999,30.042552900000004,1,,260,8717.340905961866,8,6,1089.6676132452333
restaurant,-1.9520922,30.0578131,1,,261,20753.592515252698,8,10,2594.1990644065872
kindergarten,-1.9442354,30.092070300000003,1,,262,861.5496272434251,5,14,172.30992544868502
attraction,-1.9768665,30.086843499999997,1,,263,7907.859036215492,3,16,2635.9530120718305
fuel,-1.9616840999999996,30.111628600000003,1,,264,17110.230673794427,9,13,1901.136741532714
place_of_worship,-1.9873061,30.101557899999996,1,,265,6324.693273016906,2,11,3162.346636508453
place_of_worship,-1.9874079999999996,30.10168399999999,1,,266,112691.72856350384,8,3,14086.46607043798
grit_bin,-1.9532824000000002,30.091803099999996,1,,267,5270.384621290624,7,8,752.9120887558034
place_of_worship,-1.9859127999999995,30.0987794,1,,268,14185.215132193369,6,3,2364.202522032228
restaurant,-1.9612048000000002,30.0768159,1,,269,25102.948222506213,9,2,2789.216469167357
restaurant,-1.9252176000000003,30.0971228,1,,270,93085.46131738223,3,14,31028.487105794076
restaurant,-1.9252463999999998,30.0971379,1,,271,5240.320024460768,6,15,873.3866707434613
convenience,-1.9407028000000004,30.103218199999997,1,,272,70485.60278676858,7,3,10069.371826681225
restaurant,-1.9311962,30.1103374,1,,273,22253.021163802958,7,1,3179.0030234004225
social_centre,-1.9648831999999992,30.062764199999997,1,,274,8254.314802333638,5,15,1650.8629604667276
restaurant,-1.9465595999999996,30.067316899999998,1,,275,34965.02217219829,5,2,6993.004434439657
restaurant,-1.9603249,30.104518,1,,276,26877.90077914469,1,18,26877.90077914469
hotel,-1.955345,30.097641300000003,1,,277,12085.759320821968,7,1,1726.5370458317097
restaurant,-1.9302713,30.064416200000004,1,,278,23618.889773630464,4,9,5904.722443407616
bar,-1.9344952,30.0787547,1,,279,14983.223234804815,7,3,2140.4604621149733
massage,-1.9477099999999998,30.093076200000002,1,,280,24674.296302464973,5,2,4934.8592604929945
cafe,-1.9477598,30.092829200000004,1,,281,42707.53616044846,5,4,8541.50723208969
car_repair,-1.9476145999999999,30.092683900000004,1,,282,107582.88106520103,3,16,35860.96035506701
restaurant,-1.9436787,30.058768499999996,1,,283,6388.051052066724,5,1,1277.6102104133447
hotel,-1.9896571,30.1007822,1,,284,185912.8649011238,5,9,37182.57298022476
hotel,-1.9591408,30.1124122,1,,285,3127.25906085301,4,8,781.8147652132525
hotel,-1.9594043000000003,30.112639299999994,1,,286,18924.54252504654,3,6,6308.1808416821805
florist,-1.9375986,30.065708899999994,1,,287,39668.678732369764,3,18,13222.892910789922
diplomatic,-1.9395054,30.087258699999992,1,,288,29172.794762026926,5,16,5834.558952405385
guest_house,-1.9566273,30.123793199999998,1,,289,11817.071239476523,10,8,1181.7071239476522
viewpoint,-1.9464856000000001,30.052933800000005,1,,290,17887.863581049318,2,4,8943.931790524659
childcare,-1.9322660000000003,30.0557039,1,,291,13453.560421351332,5,3,2690.7120842702666
hostel,-1.9628964,30.108394099999998,1,,292,12217.629676151668,3,15,4072.5432253838894
restaurant,-1.9588177,30.105118,1,,293,51513.6498426087,4,6,12878.412460652175
hotel,-1.9581220999999998,30.104663300000002,1,,294,31477.09715634029,6,1,5246.182859390048
guest_house,-1.9593295,30.141423699999997,1,,295,11015.849790492814,3,18,3671.9499301642713
clinic,-1.9411133999999997,30.0616204,1,,296,54154.69083883716,4,11,13538.67270970929
cosmetics,-1.979028,30.10421949999999,1,,297,29950.446777456138,4,3,7487.6116943640345
government,-1.941317,30.088933000000004,1,,298,49655.38480298809,5,13,9931.076960597618
school,-1.9471703999999999,30.134723200000003,1,,299,41341.77801739066,8,17,5167.722252173832
school,-1.9843162,30.049441499999993,1,,300,9614.282084897592,5,18,1922.8564169795184
bakery,-1.974026,30.05430949999999,1,,301,12579.439316216434,6,14,2096.5732193694057
supermarket,-1.9127495,30.0763628,1,,302,46503.99980198951,3,7,15501.333267329836
bar,-1.9132211000000001,30.0868461,1,,303,40553.21192603574,4,7,10138.302981508936
government,-1.9342076000000001,30.08038639999999,1,,304,21570.855626667482,5,14,4314.171125333496
community_centre,-1.9770018000000003,30.080139900000002,1,,305,24768.485628938743,6,15,4128.080938156457
company,-1.9426426999999995,30.089122700000004,1,,306,79036.4878065376,7,12,11290.926829505372
